DMA,Brand,Year,NielsenRating,LocalTeamInSB,PostRevenuePerWeek
524,OTHERBEER,2011,0.497,0,0.3847898
527,BUDWEISER,2006,0.478,0,0.142274838
527,BUDWEISER,2007,0.555,1,0.194254513
527,BUDWEISER,2008,0.541,0,0.165697238
527,BUDWEISER,2009,0.474,0,0.185539163
527,BUDWEISER,2010,0.542,1,0.228424038
527,BUDWEISER,2011,0.503,0,0.180313038
527,COORS,2006,0.478,0,0.053792688
527,COORS,2007,0.555,1,0.07308445
527,COORS,2008,0.541,0,0.071430525
527,COORS,2009,0.474,0,0.082168913
527,COORS,2010,0.542,1,0.090573275
527,COORS,2011,0.503,0,0.084866488
527,CORONA,2006,0.478,0,0.012731988
527,CORONA,2007,0.555,0,0.015821438
527,CORONA,2008,0.541,0,0.016662388
527,CORONA,2009,0.474,0,0.016008088
527,CORONA,2010,0.542,1,0.016184438
527,CORONA,2011,0.503,0,0.014610725
527,MILLER,2006,0.478,0,0.079144663
527,MILLER,2007,0.555,1,0.097681525
527,MILLER,2008,0.541,0,0.0906994
527,MILLER,2009,0.474,0,0.104408213
527,MILLER,2010,0.542,1,0.102368675
527,MILLER,2011,0.503,0,0.098017975
527,OTHERBEER,2006,0.478,0,0.102244575
527,OTHERBEER,2007,0.555,1,0.10699495
527,OTHERBEER,2008,0.541,0,0.119849625
527,OTHERBEER,2009,0.474,0,0.128479238
527,OTHERBEER,2010,0.542,1,0.132841288
527,OTHERBEER,2011,0.503,0,0.133254863
528,BUDWEISER,2006,0.362,0,0.253804125
528,BUDWEISER,2007,0.43,0,0.270957213
528,BUDWEISER,2008,0.422,0,0.262059863
528,BUDWEISER,2009,0.392,0,0.296513863
528,BUDWEISER,2010,0.419,0,0.302785325
528,BUDWEISER,2011,0.378,0,0.302863238
528,COORS,2006,0.362,0,0.040207763
528,COORS,2007,0.43,0,0.047590563
528,COORS,2008,0.422,0,0.048605863
528,COORS,2009,0.392,0,0.051463025
528,COORS,2010,0.419,0,0.056590338
528,COORS,2011,0.378,0,0.059101925
528,CORONA,2006,0.362,0,0.142345638
528,CORONA,2007,0.43,0,0.157307138
528,CORONA,2008,0.422,0,0.169328513
528,CORONA,2009,0.392,0,0.174817563
528,CORONA,2010,0.419,0,0.191772713
528,CORONA,2011,0.378,0,0.212907688
528,MILLER,2006,0.362,0,0.125956675
528,MILLER,2007,0.43,0,0.13109655
528,MILLER,2008,0.422,0,0.131768
528,MILLER,2009,0.392,0,0.129065088
528,MILLER,2010,0.419,0,0.127027563
528,MILLER,2011,0.378,0,0.130384063
528,OTHERBEER,2006,0.362,0,0.438094475
528,OTHERBEER,2007,0.43,0,0.496768238
528,OTHERBEER,2008,0.422,0,0.489021775
528,OTHERBEER,2009,0.392,0,0.47722555
528,OTHERBEER,2010,0.419,0,0.518914988
528,OTHERBEER,2011,0.378,0,0.502800625
529,BUDWEISER,2006,0.437,1,0.252962675
529,BUDWEISER,2007,0.424,0,0.27650045
529,BUDWEISER,2008,0.447,0,0.306225425
529,BUDWEISER,2010,0.512,0,0.366563438
529,BUDWEISER,2011,0.449,1,0.372592925
529,COORS,2006,0.437,1,0.046553838
529,COORS,2007,0.424,0,0.048794038
529,COORS,2008,0.447,0,0.050624025
529,COORS,2010,0.512,0,0.055786938
529,COORS,2011,0.449,1,0.059625138
529,CORONA,2006,0.437,0,0.0236447
529,CORONA,2007,0.424,0,0.027026625
